1,TINCTURA DE DÍA,"$1,800.00",MXN,"1 fl oz / (30 ml), 1,000 mg de CBD","Aceite de coco fraccionado (aceite TCM), Hibisco, Ginseng, Ginkgo Biloba, Raíz de Jengibre, Raíz de Maca, Destilado de CBD de Amplio Espectro, Aceite Esencial de Limón, Aceite Esencial de Menta",tinctura_dia.png,tincturas
2,TINCTURA DE NOCHE,"$1,800.00",MXN,"1 fl oz / (30 ml), 1,000 mg de CBD","Aceite de coco fraccionado (aceite TCM), Raíz de Valeriana, Escutelaria, Destilado de CBD de Amplio Espectro, Aceite Esencial de Limón, Aceite Esencial de Menta",tinctura_noche.png,tincturas
3,CREMA PARA DOLOR,"$1,600.00",MXN,"2 fl oz / (60 ml), 500mg de CBD","Jugo Organico de Hoja Aloe Bardensis (Aloe), Agua, Prunus Amygdalus Dulcis (Aceite de Almendras Dulces), Aceite de Semilla de Helianthus Annuus (Aceite de Girasol Orgánico), Estearato de Glicerilo, Glicerina Kosher (Vegetal), Alcohol Cetílico, Palmitato de Etilhexilo, Palmitato de Isopropilo, Aceite de Coco Nucifera (Aceite de Coco Orgánico), Mantequilla de Semillas de Cacao Theobroma (Manteca de Cacao Orgánica), Cera de abejas, Aceite de Semilla de Simmondsia Chinensis (Aceite de Jojoba Orgánico), Mantequilla de Butyrospermum Parkii (Manteca de Karité), Aceite de Semilla de Aleurites Moluccana (aceite de Nuez de Kukui), Aceite de Semilla de Cucurbita Pepo (Aceite de Semilla de Calabaza), Aceite de Persea Gratissima (Aceite de Aguacate), Aceite de Germen Triticum Vulgare (Aceite de Germen de Trigo), Pantenol (Vitamina B5), Acetato de Tocoferilo (Vitamina E), Extracto de Hoja de Camellia Sinensis (Té Verde Orgánico), Extracto de Centella Asiática (Gotu Kola Orgánica), Extracto de Equisetum Arvense (Cola de Caballo), Extracto de Geranium Maculatum (Geranio Silvestre), Extracto de Taraxacum Ocinale (Diente de león), Ácido esteárico, Estearato de Potasio, Goma Xantana, Carbómero de Sodio, Fenoxietanol, Etilhexilglicerina, Aceite Esencial de Limón, Aceite Esencial de Naranja, Destilado de CBD, Aceite esencial de Alcanfor, Aceite Esencial de Clavo, Aceite Esencial de Eucalipto, Mentol",crema_dolor.png,cremas
4,CREMA PARA PIES,"$1,600.00",MXN,"2 fl oz / (60 ml), 500mg de CBD","Infusion Herbal Organica, Aloe Barbadensis Orgánico (Aloe), Estearato de Glicerilo (derivado de plantas), Alcohol Cetearílico (derivado de plantas), Aceite de Semilla de Carthamus Tinctorius (Cártamo), Ácido Esteárico (derivado de plantas), Aceite de Semilla de Helianthus Annuus (Girasol), Glicerina Vegetal Kosher (derivado de plantas), Palmitato de Isopropilo (Aceite de Palma), Mentha Piperita (Aceite Esencial de Menta), Mentol de Laevo (Mentol), Salicilato de Metilo (Aceite Esencial de Gaulteria), Mentha Spicata (Aceite Esencial de Menta Verde), Eucalipto Globulus (Aceite esencial de Eucalipto), Melaleuca Alternifolia (Aceite Escencial de Árbol de Té), Decilglucósido (derivado de plantas), Caprilato de Glicerilo (conservante natural), Carbómero, Hidróxido de Sodio (modificador del pH), Tocoferol (antioxidante), Aceite de Semilla de Cañamo, Etilhexilglicerina (conservante), Extracto de Flor de Lonicera Caprifolium (Madreselva), Extracto de Lonicera Japonica (conservante natural).",crema_pies.png,cremas
5,CREMA PARA MANOS,"$1,600.00",MXN,"2 fl oz / (60 ml), 500mg de CBD","Infusion Herbal Organica, Jugo de Hoja de Aloe Barbadensis Orgánico (Aloe Vera), Estearato de Glicerilo (derivado de plantas), Alcohol Cetearílico (derivado de plantas), Aceite de Semilla de Carthamus Tinctorius (Cártamo), Cacao Orgánico Theobroma (Manteca de Cacao), Ricinus Communis Orgánico (Aceite de Semilla de Ricino), Ácido Esteárico (derivado de plantas), Aceite de Semilla de Helianthus Annuus (Girasol), Glicerina Vegetal Kosher (derivado de plantas), Pantenol (Vitamina B5), Acetato d-Alfa Tocoferilo (Vitamina E), Oenothera Biennis (Aceite de Onagra), Rubus Ideaus (Aceite de Semilla de Frambuesa) , Persea Gratissima (Aceite de Aguacate), Vitis vinifera (Aceite de Semilla de Uva), Aceite de Cáñamo, Simmondsia Chinensis Orgánica (Aceite de Jojoba), Butyrospermum Parkii (Manteca de Karité), Fosfato de Ascorbilo Sódico (Vitamina C), Equisetum Arvense (planta Cola de Caballo) de Producción Silvestre, Centella Asiática Orgánica (Gotu Kola), Extracto de Algas, Extracto de Hoja de Camelia Oleifera (Té Verde Japonés), Palmitato de Isopropilo (Aceite de Palma), Decil Glucósido (derivado de plantas), Caprilato de Glicerilo (conservante natural), Carbómero de Sodio, Hidróxido de Sodio (modificador de pH), Tocoferol (antioxidante), Etilhexilglicerina (conservante), Extracto de Flor de Lonicera Caprifolium (Madreselva) y Extracto de Lonicera Japonica como conservante natural.",crema_manos.png,cremas
6,BÁLSAMO REFRESCANTE,"$1,600.00",MXN,"2 fl oz / (60 ml), 500mg de CBD","Aceite de semilla de Carthamus Tinctorius (Cártamo), Aceite de Fruta de Olea Europaea (Oliva), Cera de Abeja, Aceite de semilla de Cañamo, Mentol, Aceite de Corteza de Cinnamomum Camphora (Canela), Aceite de Hoja Eugenia Caryophyllus (Clavo), Aceite de Hoja Rosmarinus Ocinalis (Romero), Aceite de Mentha Piperita (Menta), Capsicum Frutescens (Cayena) Fruta en Polvo",crema_refrescante.png,cremas
7,BODY LOTION,"$1,900.00",MXN,"8 fl oz / (235 ml), 500mg de CBD","Agua, Alcohol Cetílico, Butyrospermum Parkii (Manteca de Karité), Glicerina, Propanodiol, Cocos Nucifera (Coco) Aceite, Mantequilla de semillas de Theobroma Cacao, Alcohol Cetoestearílico, Alcohol Estearílico, Polisorbato 80, Aceite de Semilla de Cañamo y Aceite Vegetal Hidrogenado, Dimeticona, Ciclopentasiloxano y Polímero cruzado de Alquil Cetearil Dimeticona C30-45, Fenoxietanol, Aceite de semilla deCarthamus Tinctorius (Cártamo), Aceite de Semilla de Ricinus Communis (Ricino), Aceite de Olea Europea (Oliva), Acetato de Tocoferilo, Aceite de Semilla de Vitis Vinifera (Uva), EDTA Tetrasódico, Goma Xantana",bodylotion.png,body_lotion
8,MANGO GOMITAS,"$1,100.00",MXN,30 gomitas 25mg de CBD en cada gomita,"Jarabe de Glucosa, Sacarosa, Agua Filtrada, Pectina de Manzana, Citrato de Sodio. Contiene menos del 2% de lo Siguiente: Aislado de Cannabidiol, Extracto de Zanahoria para Color, Acido Cítrico, Saborizante Natural a Mango",gomitas_mango.png,gomitas
9,MANZANA VERDE GOMITAS,"$1,100.00",MXN,30 gomitas 25mg de CBD en cada gomita,"Jarabe de Glucosa, Sacarosa, Agua Filtrada, Pectina de Manzana, Citrato de Sodio. Contiene menos del 2% de lo Siguiente: Aislado de Cannabidiol, Extracto de Zanahoria para Color, Acido Cítrico, Saborizante Natural a Manzana Verde",gomitas_manzana.png,gomitas
10,PIÑA GOMITAS,"$1,100.00",MXN,30 gomitas 25mg de CBD en cada gomita,"Jarabe de Glucosa, Sacarosa, Agua Filtrada, Pectina de Manzana, Citrato de Sodio. Contiene menos del 2% de lo Siguiente: Aislado de Cannabidiol, Extracto de Zanahoria para Color, Acido Cítrico, Saborizante Natural a Piña",gomitas_pina.png,gomitas
11,CIGARRO ELECTRÓNICO,$800.00,MXN,200mg de CBD,"Destilado de CBD de Amplio Espectro, Terpenos Naturales. NO CONTIENE THC",vape.png,vapes
12,CIGARROS,$200.00,MXN,200mg de CBD,"Destilado de CBD de Amplio Espectro, Terpenos Naturales. NO CONTIENE THC",vape_cigarros.png,vapes
